,DBA,Business type,Bus address,Start date,Close date,License description,Rate type (STD),type,long,lat,closure_time,censor,zone,parcel,sq(ft),is_downtown_association,zone_type,is_home_occ,ft to downtown,type_cluster
19,"1119 Chorro Street, LLC",Rental- Commercial,1119 N CHORRO ST,2015-05-11,,Commercial Rental Property,Downtown Association,Downtown Association,-120.662767286237,35.279662253823,3952,0,C,002-426-004,4440.868347550672,True,Commercial,False,0.0,12
20,1119 Garden Street Building,Rental- Commercial,1119 GARDEN ST,2006-01-19,2015-10-01,Commercial Rental Property,Downtown Association,Downtown Association,-120.663391656231,35.279200111209,7351,1,C,002-424-010,3800.255559881103,True,Commercial,False,0.0,12
21,1121 Montalban LLC,Rental- Residential,1121 MONTALBAN ST,2022-09-01,2025-04-15,Property management,General Retailer,Retail,-120.664569670353,35.288459667635,1282,1,C,001-114-036,13840.717935900924,False,Commercial,False,1957.7137144200376,-1
22,1125 Garden Street Hotel Investors LP,Hotels and Motels,1119 GARDEN ST,2019-03-15,,Restaurant & Bar,Downtown Association,Downtown Association,-120.663391656231,35.279200111209,2548,0,C,002-424-010,3800.255559881103,True,Commercial,False,0.0,12
23,1133 Laurel Ln,Rental- Residential,1133 LAUREL LN,2022-04-11,,Real Estate Rental,Residential Rental,Rental,-120.642237257325,35.26297591145,1425,0,R-3,004-563-065,185323.2386382953,False,Residential,False,7756.507493563094,-1
24,1137 Peach St,Homestay,1137 PEACH ST,2024-01-01,,Homestay,General Service,Service,-120.661560481652,35.285363923426,795,0,R-2,002-316-004,7819.0469564067425,False,Residential,False,552.2211540291914,-1
25,116 Chorro Rental,Rental- Residential,116 CHORRO ST,2022-01-01,,116 Chorro Rental,Residential Rental,Rental,-120.669573996879,35.290108517387,1525,0,R-1,001-022-020,6666.856111253946,False,Residential,False,3296.025455094902,-1
26,1170 Fuller Rd,Rental- Residential,1170 FULLER RD,2012-11-28,,Residential Rental Property,Residential Rental,Rental,-120.634536053995,35.247662461952,4846,0,R-1,053-089-014,6132.805862789232,False,Residential,False,13563.229526682038,-1
27,1185 E Foothill Blvd Apt 31,Rental- Residential,1185 E FOOTHILL BLVD APT 31,2013-04-02,,Residential Rental Property,Residential Rental,Rental,-120.664288722571,35.29476518458,4721,0,R-4,052-184-037,49528.171551684776,False,Residential,False,4069.578545155685,-1
28,1185 E. Foothill LLC,Rental- Residential,1185 E FOOTHILL BLVD APT 26,2010-09-13,2018-02-15,rental proerty,Residential Rental,Rental,-120.664288722571,35.29476518458,5653,1,R-4,052-184-037,49528.171551684776,False,Residential,False,4069.578545155685,-1
29,11860 Los Osos Valley Rd,Rental- Residential,11860 LOS OSOS VALLEY RD,2022-03-21,,annual lease rental,Residential Rental,Rental,-120.687255675837,35.252394808872,1446,0,C,053-152-012,94725.36439411792,False,Commercial,False,10651.79277535041,-1
30,11th Hole Grill,Food Store,11175 LOS OSOS VALLEY RD,2011-03-25,2021-07-31,Food Concession At Site,General Retailer,Retail,-120.696937107943,35.262185998482,5460,1,PF,053-111-058,1155362.2785815012,False,Public,False,10447.756081364414,8
31,"12 at Ke One 'Ele' ele, LLC",Rental- Residential,1733 FARRIER CT,2021-10-11,2022-05-20,residential real estate rental,Residential Rental,Rental,-120.692628262543,35.253558996336,1607,1,R-1,053-514-004,6358.596579507637,False,Residential,False,11363.595200661695,-1
32,121 Stenner LLC,Rental- Residential,121 STENNER ST,2021-07-24,,Rental,Residential Rental,Rental,-120.663405619377,35.292066358623,1686,0,R-3,052-194-002,7110.34118434803,False,Residential,False,3052.981444635982,-1
33,1214 Bond LLC,Rental- Residential,1214 BOND ST,2022-04-22,,Rental Property,Residential Rental,Rental,-120.660963462586,35.29415545469,1414,0,R-1,052-091-017,9797.939529804344,False,Residential,False,3735.1839561025504,-1
34,1219 Tattoo,Misc Business Services,1075 COURT ST 209,2023-02-22,,Body art,Downtown Association,Downtown Association,-120.661468931048,35.281076207266,1108,0,C,002-431-010,36099.68329911458,True,Commercial,False,0.0,0
35,"1227 Archer, LLC",Rental- Commercial,1227 ARCHER ST,2014-09-03,,Commercial Rental Property,Commercial Rental Property,Rental,-120.668927445048,35.274672542886,4202,0,C,002-506-002,7114.890323680366,False,Commercial,False,950.7307343737344,12
36,123 Test,Rental- Commercial,123 orange ST,2015-04-17,,Government,Commercial Rental Property,Rental,-120.66052603149,35.295273485658,3976,0,R-1,052-091-010,6464.116083731654,False,Residential,False,4145.463707514276,12
37,1239 E Foothill Blvd #111 Rental,Rental- Residential,1239 E FOOTHILL BLVD # 111,2022-03-12,,Rental property,Residential Rental,Rental,-120.663233205767,35.295215907984,1455,0,R-4,052-072-024,27726.69781839679,False,Residential,False,4169.740751542219,-1
38,"1247 VDL, LLC",Rental- Residential,1247 VISTA DEL LAGO,2021-01-10,,Rental Unit,Residential Rental,Rental,-120.693729838568,35.262545160707,1881,0,R-1,004-261-083,11283.14550940987,False,Residential,False,9558.73321749948,-1
39,1249 Palm LLC,Rental- Residential,1249 PALM ST,2021-11-15,,Rental- Residential,Residential Rental,Rental,-120.658625638016,35.284661576478,1572,0,O,001-222-003,10785.85726791201,False,Office,False,599.3654098788928,-1
40,1292 Chaparral Circle,Rental- Residential,1292 CHAPARRAL CIR,2015-10-26,2017-09-01,Rental Property,Residential Rental,Rental,-120.631060595296,35.249636638676,3784,1,R-2,053-300-017,1769.4357080215511,False,Residential,False,13625.144510639282,-1
41,1305 Marsh Street LLC,Rental- Commercial,1305 MARSH ST,2012-08-30,2024-05-31,Real Estate Investment,Commercial Rental Property,Rental,-120.655747186501,35.282991824028,4936,1,O,002-342-022,8871.664957221596,False,Office,False,696.0052380481465,12
42,1314 Palm LLC,Rental- Residential,1314 PALM ST,2023-02-28,,Rental- Residential,Residential Rental,Rental,-120.657763360082,35.28531256936,1102,0,R-3,001-225-001,15440.282656191115,False,Residential,False,949.1507019198468,-1
43,"1335 Foothill, LLC",Rental- Residential,1335 E FOOTHILL BLVD,2010-09-10,,Residential Rental Property,Residential Rental,Rental,-120.66124065995,35.296401816746,5656,0,R-4,052-082-034,90128.52158607537,False,Residential,False,4552.782293308789,-1
44,1342 Breck Rental,Rental- Residential,1342 BRECK ST,2021-10-28,,Residential Rental,Residential Rental,Rental,-120.651407232989,35.279585852935,1590,0,R-3,003-564-026,5446.765269580332,False,Residential,False,1890.462655125049,-1
45,1351 Royal Way #9,Rental- Residential,1351 ROYAL WAY #9,2010-09-03,2011-09-20,,Residential Rental,Rental,-120.691536508351,35.259257299533,5663,1,R-2,004-611-068,93487.69405701438,False,Residential,False,9721.45944705644,-1
46,1355 Pacific LLC,Rental- Residential,1355 PACIFIC ST,2025-05-01,,,Residential Rental,Rental,-120.654425434507,35.282715309338,309,0,R-2,002-343-036,7698.110816639509,False,Residential,False,1054.9249127140338,-1
47,14 Hathway LLC,Rental- Residential,14 HATHWAY AVE,2010-10-18,,Rental-Residential,Residential Rental,Rental,-120.659286493817,35.296964258782,5618,0,R-1,052-093-001,8055.758144979996,False,Residential,False,4788.062227718702,-1
48,1415 Ella St,Rental- Residential,1415 ELLA ST,2015-07-24,,Residential Rental,Residential Rental,Rental,-120.648822243011,35.277423807088,3878,0,R-2,003-584-025,7090.655414094078,False,Residential,False,2861.991830154517,-1
49,15 Degrees C Wine Shop and Bar,Restaurant,3590 BROAD ST 100,2023-09-18,,"Wine shop, bar, and restaurant",General Retailer,Retail,-120.646140645668,35.254767797051,900,0,C,053-231-043,193021.83420679177,False,Commercial,False,9488.923976079734,8
50,1527 Oceanaire DR,Rental- Residential,1527 OCEANAIRE DR,2021-01-01,,rental property Renting to my son at a Finacial loss,Residential Rental,Rental,-120.685433866101,35.26124059543,1890,0,R-1,004-441-021,6205.863804125417,False,Residential,False,7870.816440355814,-1
51,1530 Penny Lane Rental,Rental- Residential,1530 PENNY LN,2022-02-17,,Rental House,Residential Rental,Rental,-120.653833632569,35.280347596049,1478,0,R-2,002-453-001,5029.0585450964645,False,Residential,False,1127.9813010596977,-1
52,1547 Rental,Rental- Residential,1547 ETO CIR,2023-02-20,,Landlord of rental property,Residential Rental,Rental,-120.69703903345,35.255160162372,1110,0,R-1,053-511-012,8458.30041591435,False,Residential,False,11936.951264313291,-1
53,1573 Slack LLC,Rental- Residential,1573 SLACK ST,2022-04-22,,Rental Property,Residential Rental,Rental,-120.655920439173,35.295996751914,1414,0,R-1,052-321-011,11743.20981842555,False,Residential,False,4668.667531206306,-1
54,1601 MONTEREY,Rental- Commercial,1601 MONTEREY ST,2022-01-01,,Restaurant,Commercial Rental Property,Rental,-120.653474122511,35.286829309148,1525,0,C,001-237-001,6124.570530699991,False,Commercial,False,2105.4473433675253,12
55,"1604 Morro Street, LLC",Real Estate Broker,1604 MORRO ST,2017-06-21,,Real Estate Leasing,Residential Rental,Rental,-120.658103117754,35.276697137859,3180,0,R-3,003-551-001,13114.059988926234,False,Residential,False,900.8096379955972,4
56,1681 Colina Rental,Rental- Residential,1681 COLINA CT,2021-05-03,2022-06-30,Residential Rentals,Residential Rental,Rental,-120.632873943634,35.266217755657,1768,1,R-1,004-752-009,9710.37468518133,False,Residential,False,8999.27662964779,-1
57,171 Felmar Rental,Rental- Residential,171 FEL MAR DR,2016-09-12,2019-06-30,Residential Rental,Residential Rental,Rental,-120.684413426308,35.298935152292,3462,1,R-1,052-482-002,9861.114990961803,False,Residential,False,8544.912128108455,-1
58,1848 Homestead Place,Homestay,1848 HOMESTEAD PLACE,2023-05-15,,Homestay,General Service,Service,-120.679565,35.258798,1026,0,R-2,053-157-040,3000.255026627184,False,Residential,False,7429.80993827197,-1
59,1856 Corralitos Avenue,Rental- Residential,1856 CORRALITOS AVE,2022-01-27,,Rental Property,Residential Rental,Rental,-120.648301431536,35.287748279959,1499,0,R-1,001-262-018,7520.176639113828,False,Residential,False,3488.5955252918907,-1
60,"1865 Crafthouse and Kitchen, LLC",Restaurant,1865 MONTEREY ST,2017-07-10,,,General Service,Service,-120.651167855351,35.288951278619,3161,0,C,001-152-016,83837.45092914342,False,Commercial,False,3139.622646675698,8
61,1865 Restaurant,Restaurant,1865 MONTEREY ST,1995-04-01,2007-11-27,,General Retailer,Retail,-120.651167855351,35.288951278619,11297,1,C,001-152-016,83837.45092914342,False,Commercial,False,3139.622646675698,8
62,1871 Partridge Drive,Rental- Residential,1871 PARTRIDGE DR,2018-04-06,2018-12-31,Rental Property,Residential Rental,Rental,-120.69896593117,35.256284667095,2891,1,R-1,053-113-024,6594.063777922244,False,Residential,False,12140.025659746723,-1
63,1904 Broad Homestay,Hotels and Motels,1904 BROAD ST,2019-01-08,2019-09-12,Homestay,General Service,Service,-120.658822761284,35.272692643388,2614,1,C,003-644-015,6451.188512015197,False,Commercial,False,1986.1909651902636,12
64,1946 Lima Dr,Rental- Residential,1946 LIMA DR,2013-06-24,,Sole Proprietor,Residential Rental,Rental,-120.68517023218,35.25541502819,4638,0,R-1,004-411-019,5961.87962451553,False,Residential,False,9398.230413740945,-1
65,1992 Fixlini,Rental- Residential,1992 FIXLINI ST,2011-09-29,2013-05-31,Residential Rental Property,Residential Rental,Rental,-120.64807989076,35.278043636167,5272,1,R-1,003-581-025,8944.115465440613,False,Residential,False,2991.5471518620216,-1
66,1999 Bradley Family Trust,Rental- Residential,808 MURRAY AVE,2010-10-22,,Rental - Residential,Residential Rental,Rental,-120.669431627189,35.290879455536,5614,0,R-1,001-021-016,14994.475466315524,False,Residential,False,3514.939346112533,-1
67,19SIX Architects,Architect,560 HIGUERA ST STE C,2010-12-28,,Architectural Services,Downtown Association,Downtown Association,-120.666578048053,35.277694319824,5547,0,C,002-402-045,37187.77312983599,True,Commercial,False,0.0,3
68,1st Capital Bank,Financial Institution,599 HIGUERA ST STE B,2015-05-15,,Community Bank,Downtown Association,Downtown Association,-120.665719991975,35.278070023043,3948,0,C,003-511-014,11168.773686126557,True,Commercial,False,0.0,10
69,"2 Blondes, LLC",Retail,1115 BROAD ST,2015-02-18,2020-01-31,Women's Clothing Boutique,Downtown Association,Downtown Association,-120.664355410215,35.278657576057,4034,1,C,002-422-008,6856.485768671048,True,Commercial,False,0.0,7
70,2 Dog Coffee Company,Restaurant,1017 MONTEREY ST,2001-12-07,2007-04-24,,Downtown Association,Downtown Association,-120.661011599207,35.281888203104,8855,1,C,002-434-002,17670.088737935323,True,Commercial,False,0.0,8
72,20 West Studios,Entertainment,2103 Parker Street,2023-01-01,2025-07-01,Music Recording Studio,General Retailer,Retail,-120.669328070074,35.27080196709,1160,1,C,003-721-033,19432.69459270596,False,Commercial,False,2114.246026613175,2
73,20/20 Creative Group,Misc Business Services,867 PACIFIC ST STE 220,2007-01-08,,Marketing & Design,Downtown Association,Downtown Association,-120.660699676665,35.278796100972,6997,0,O,003-528-009,8418.389202798851,False,Office,False,0.0,0
74,2002 Haus,Retail,855 CAPITOLIO WAY STE 5,1990-06-01,2016-12-22,,General Retailer,Retail,-120.643516144492,35.257659216156,13062,1,M,053-062-014,28229.54682344608,False,Manufacturing,False,9045.084089785603,7
75,2004,Rental- Residential,1444 LAUREL LN,2010-09-09,2022-11-30,Residential Rental,Residential Rental,Rental,-120.638900633277,35.267717625999,5657,1,R-1,004-972-034,7579.964412301609,False,Residential,False,7220.810033590647,-1
76,201 Kitchen SLO,Restaurant,857 HIGUERA ST,2021-10-07,,Japanese Restaurant,Downtown Association,Downtown Association,-120.662151465255,35.280219042901,1611,0,C,002-427-014,40800.80106152653,True,Commercial,False,0.0,8
77,2171 San Luis Drive LLC,Rental- Residential,2801 JOHNSON AVE #3,2022-04-25,,Rental Property,Residential Rental,Rental,-120.64215711153,35.269582204629,1411,0,R-1,004-973-029,59233.36639189376,False,Residential,False,6037.417184650315,-1
78,22 North Chorro Project Owner LLC,Rental- Residential,22 N CHORRO ST,2018-08-03,2024-05-29,Mixed Use Apartment Building Opening Sept 2018,Residential Rental,Rental,-120.669920130658,35.293500057903,2772,1,R-1,052-174-003,6918.680329732019,False,Residential,False,4374.989876756328,-1
79,2221 King Court #26,Rental- Residential,2221 KING CT 26,2016-10-25,,Residential Rental Property,Residential Rental,Rental,-120.66223849037,35.268137823322,3419,0,R-4,004-826-041,137598.97772719368,False,Residential,False,3079.9175517103417,-1
80,2221 King Ct Rental,Rental- Residential,2221 KING CT 37,2010-10-29,,Rental Townhome,Residential Rental,Rental,-120.66223849037,35.268137823322,5607,0,R-4,004-826-041,137598.97772719368,False,Residential,False,3079.9175517103417,-1
81,2300 Sunset Drive LLC,Rental- Residential,2300 SUNSET DR,2001-01-29,2014-03-07,,Residential Rental,Rental,-120.642268160853,35.275042881848,9167,1,R-1,003-781-008,17560.02856225677,False,Residential,False,5001.5147223813465,-1
82,2302A Santa Ynez,Homestay,2302 SANTA YNEZ AVE,2025-12-01,2025-11-18,,General Service,Service,-120.64597041963,35.293147602892,95,1,R-1,052-136-019,26248.72151231968,False,Residential,False,5311.633610880698,-1
83,2306 Santa Ynez Casa Paloma,Rental- Residential,2306 SANTA YNEZ AVE,2025-12-15,,,General Service,Service,-120.645889701679,35.293165453847,81,0,R-1,052-136-019,26248.72151231968,False,Residential,False,5332.715330046441,-1
84,2333 Helena Street Rental,Rental- Residential,2333 HELENA ST,2022-03-09,2022-06-16,Rental Property,Residential Rental,Rental,-120.648710894489,35.270699136462,1458,1,R-1,004-722-002,8932.678230804255,False,Residential,False,4351.8766447798525,-1
85,2350 Meadow Homestay,Hotels and Motels,2350 MEADOW ST,2017-05-01,2020-02-05,Homestay,General Service,Service,-120.658052639792,35.267787865667,3231,1,R-1,004-833-016,6997.351439301231,False,Residential,False,3596.7954603845046,12
86,2423 Del Campo Rental,Rental- Residential,2423 BOULEVARD DEL CAMPO,2022-01-01,,RENTAL - RESIDENTIAL,Residential Rental,Rental,-120.649286622289,35.269208090751,1525,0,R-1,004-853-008,7483.778480226097,False,Residential,False,4681.270824834071,-1
87,2524 Augusta Rental,Rental- Residential,2524 AUGUSTA ST,2022-03-10,2023-10-02,Rental house,Residential Rental,Rental,-120.645409163881,35.270253754156,1457,1,R-1,004-784-002,6593.517153366478,False,Residential,False,5143.893008803418,-1
88,2548 Meadow Rental,Homestay,2548 MEADOW ST,2023-05-15,2024-06-04,Homestay,General Service,Service,-120.658082019138,35.266016701868,1026,1,R-1,004-903-004,6939.208779835159,False,Residential,False,4177.688608025133,-1
89,255 Rosita St B&B,Hotels and Motels,255 ROSITA ST,2018-06-26,2019-06-30,Homestay,General Service,Service,-120.684472109163,35.295369602885,2810,1,R-1,052-011-043,7019.531358789252,False,Residential,False,7624.408725797741,12
90,258 Chorro Street Rental,Rental- Residential,258 CHORRO ST,2012-08-17,2017-05-17,,Residential Rental,Rental,-120.66879425931,35.287645228274,4949,1,R-1,001-106-001,7858.656135448047,False,Residential,False,2427.803380623096,-1
91,"263 Chorro, LLC",Rental- Residential,263 N CHORRO ST,2017-02-08,,Rental Residential,Residential Rental,Rental,-120.672102156804,35.2954662869,3313,0,R-4,052-041-055,44361.76834777495,False,Residential,False,5336.071752437731,-1
92,274 Hathway LLC,Rental- Residential,274 HATHWAY AVE,2022-04-22,,Rental Property,Residential Rental,Rental,-120.661333951792,35.294395713033,1414,0,R-1,052-091-018,9795.087735153871,False,Residential,False,3823.032939181632,-1
93,287 Chorro Rental,Rental- Residential,287 CHORRO ST,2022-02-04,,Residential Rental,Residential Rental,Rental,-120.668751602049,35.287181955978,1491,0,R-1,001-104-013,5745.465228054937,False,Residential,False,2285.2885574717093,-1
94,"2885 S Higuera Street, LLC",Rental- Commercial,2885 S HIGUERA ST,2013-01-02,2015-05-29,Commercial Rental Property,Commercial Rental Property,Rental,-120.669284957387,35.26174456486,4811,1,C,053-021-029,127799.99760865472,False,Commercial,False,5270.938566367954,12
95,2br,Retail,3960 S HIGUERA ST 61,2005-01-27,2006-07-20,,General Retailer,Retail,-120.673550392012,35.247099487768,7708,1,R-2,053-131-011,1040694.0422821196,False,Residential,False,10747.129610853885,7
96,2HERC,Home Occupation,1934 CHORRO ST #3,2021-03-16,2022-07-10,"E-Tailer, Web Design, Development & Marketing",General Retailer,Retail,-120.657256749999,35.273158374848,1816,1,R-2,003-647-005,7176.735285559057,False,Residential,True,2080.369485425869,-1
97,3 Ball Academy,Home Occupation,408 MARGARITA AVE,2003-09-02,,Physical Fitness,General Service,Service,-120.661857558215,35.256187953791,8221,0,R-1,053-183-015,5977.918475394676,False,Residential,True,7323.778607167826,-1
98,3 J Photos,Home Occupation,1193 WISTERIA LN,2018-05-10,,Bird Feeders And Photos,General Retailer,Retail,-120.633152796454,35.246520031276,2857,0,R-1,053-094-029,7514.97889692857,False,Residential,True,14141.336454434138,-1
99,"3 La Entrada, LLC",Rental- Residential,382 SAN MIGUEL AVE,2019-08-20,,Residential Rental Property,Residential Rental,Rental,-120.647531906202,35.293239866809,2390,0,R-1,052-134-043,5635.055460866103,False,Residential,False,5034.893708730604,-1
100,"3030, Inc",Misc Business Services,6616 AVILA VALLEY DR,1996-08-07,,Commercial Rental Operation,General Service,Service,-120.706735016959,35.192979843034,10803,0,C,076-114-022,3281054.0784845315,False,Commercial,False,32555.34777774913,0
101,3140 Lirio Court Rental Property,Rental- Residential,3140 LIRIO CT,2016-02-18,,Residential Rental,Residential Rental,Rental,-120.662757688724,35.256454297814,3669,0,R-1,053-183-067,6687.128044267043,False,Residential,False,7185.475022236819,-1
102,325ENIGMA,Home Occupation,416 PATRICIA DR,2009-08-04,2011-09-22,Sell A Dvd On The Internet That Was Created,General Retailer,Retail,-120.683547747586,35.297697827621,6058,1,R-1,052-373-019,6486.67663775278,False,Residential,True,8035.984806954454,-1
103,3260 Rockview LLC,Rental- Residential,3260 ROCKVIEW PL,2021-01-01,,Leasing of apartments,Residential Rental,Rental,-120.650815163445,35.25966537004,1890,0,R-2,004-601-075,33492.83543576,False,Residential,False,7235.7629419236255,-1
104,331 Pacific Street LLC,Rental- Commercial,331 PACIFIC ST,1992-05-01,,,Commercial Rental Property,Rental,-120.667939972196,35.274417305169,12362,0,C,002-507-001,16498.029692163353,False,Commercial,False,782.8801255401808,12
105,333 Design Studios,Professional,1352 PARTNER RD #1,2021-08-16,2023-06-07,Residential Design Service/Documenting for Planning & Development,Professional Service,Service,-120.719074317391,35.287408180668,1663,1,C,067-091-018,3150837.0800128286,False,Commercial,False,15698.203336474138,6
106,3335 Broad #4 Rental,Rental- Residential,3335 BROAD ST # 4,2022-03-15,,Rental Property,Residential Rental,Rental,-120.648870524594,35.259647798171,1452,0,R-2,004-601-070,174830.0224044298,False,Residential,False,7561.833115312173,-1
107,34 North,Software Development,604 HENDERSON AVE STE 200,2010-09-15,2012-10-23,Software Development,General Service,Service,-120.650570004318,35.291325613934,5651,1,C,001-074-030,11267.950908733246,False,Commercial,False,3935.933300702684,-1
108,"35 Degree Properties, LLC",Rental- Commercial,1304 GARDEN ST,2016-10-11,2018-02-28,Leasing Of Non Residential Buildings,Downtown Association,Downtown Association,-120.662071368772,35.277920494683,3433,1,O,003-526-001,8045.075438811998,False,Office,False,0.0,12
109,35 Stenner B Rental,Rental- Residential,35 STENNER ST # B,2019-08-01,,Rental Property,Residential Rental,Rental,-120.663399508894,35.292458870036,2409,0,R-3,052-192-009,8761.388632886465,False,Residential,False,3191.9486345828955,-1
110,350 Calle Lupita,Rental- Residential,350 CALLE LUPITA,2022-04-18,,Rental to Students,Residential Rental,Rental,-120.663294124299,35.257380609458,1418,0,R-1,053-183-028,6413.390078609722,False,Residential,False,6829.96451782749,-1
111,360 Behavioral Health,Professional,889 MURRAY AVE,2013-01-22,,Behavioral Health Services,Professional Service,Service,-120.667301742674,35.290764864017,4791,0,R-1,001-022-054,7773.239105820109,False,Residential,False,3110.575956525634,6
112,360 Behavioral Health Support Services,Professional,889 MURRAY AVE,2013-01-22,,Educational Behavioral Services,Professional Service,Service,-120.667301742674,35.290764864017,4791,0,R-1,001-022-054,7773.239105820109,False,Residential,False,3110.575956525634,6
113,360 Imaging Solutions,Home Occupation,1769 TONINI DR,2008-01-09,2020-06-30,General Photographic Services,General Service,Service,-120.691514895216,35.254782000346,6631,1,R-2,053-513-040,5455.050403204484,False,Residential,True,10812.758410186076,-1
114,363 High Street,Rental- Residential,363 HIGH ST,2025-10-01,,,Residential Rental,Rental,-120.664269043975,35.272125865634,156,0,R-2,003-733-012,7518.839836234435,False,Residential,False,1518.0699546929172,-1
115,382 Albert Owner LLC,Rental- Residential,382 ALBERT DR,2022-01-01,2023-03-31,Rental house for college students,Residential Rental,Rental,-120.655957440643,35.293307434072,1525,1,R-1,052-324-008,10989.237028525957,False,Residential,False,3747.371737685228,-1
116,"383 Lemonade, LLC",Rental- Residential,383 LEMON ST,2022-03-10,,6 Unit Apartments,Residential Rental,Rental,-120.663329178973,35.28873921894,1457,0,R-2,001-114-011,7529.340476466144,False,Residential,False,1884.6555486136767,-1
